81,78,17,24;104,89,2,5;99,97,4,0;103,78,17,2;94,87,12,7;103,81,5,11;92,78,29,1;96,82,17,5;99,91,7,3;93,67,22,18;0
60,52,40,48;69,75,31,25;64,69,36,31;93,55,7,45;67,78,33,22;62,62,38,38;69,83,31,17;54,69,46,31;64,58,36,42;56,52,44,48;0
40,39,60,61;
