0.875;0.965;0.98;0.905;0.905;0.92;0.98;0.93;0.95;0.8;0
0.605;0.72;0.665;0.74;0.725;0.62;0.69;0.77;0.61;0.54;0
0.235;0.04;0.065;0.19;0.115;0.03;0.455;0.315;0.075;0.11;0
0.77;0.76;0.72;0.71;0.695;0.75;0.69;0.745;0.6;0.7;0
